Id,Label,Weight
Plato,Plato,994
Aristotle,Aristotle,828
Cicero,Cicero,380
Averroes,Averroes,336
Immanuel Kant,Immanuel Kant,328
Voltaire,Voltaire,320
Bertrand Russell,Bertrand Russell,313
Confucius,Confucius,312
Thomas Aquinas,Thomas Aquinas,311
Ibn Khaldun,Ibn Khaldun,290
David Hume,David Hume,286
Anselm,Anselm,283
Mozi,Mozi,277
Socrates,Socrates,267
Al-Ghazali,Al-Ghazali,255
Mencius,Mencius,254
Karl Marx,Karl Marx,253
Solomon,Solomon,235
Al-Farabi,Al-Farabi,226
Ludwig Wittgenstein,Ludwig Wittgenstein,225
Friedrich Nietzsche,Friedrich Nietzsche,221
Avicenna,Avicenna,217
William James,William James,216
Arius,Arius,207
John Locke,John Locke,201
Martin Heidegger,Martin Heidegger,199
Bonaventure,Bonaventure,195
Blaise Pascal,Blaise Pascal,195
Alvin Plantinga,Alvin Plantinga,195
Edmund Husserl,Edmund Husserl,194
Plotinus,Plotinus,189
Thucydides,Thucydides,188
Bede,Bede,187
Augustine of Hippo,Augustine of Hippo,186
Karl Popper,Karl Popper,185
Xenophon,Xenophon,182
Baruch Spinoza,Baruch Spinoza,182
Nicholas Wolterstorff,Nicholas Wolterstorff,179
William of Ockham,William of Ockham,175
Tertullian,Tertullian,173
Han Fei,Han Fei,172
Sun Tzu,Sun Tzu,171
Meister Eckhart,Meister Eckhart,168
Gottlob Frege,Gottlob Frege,167
Proclus,Proclus,167
Roger Bacon,Roger Bacon,166
Peter van Inwagen,Peter van Inwagen,166
Daniel Dennett,Daniel Dennett,165
Alasdair MacIntyre,Alasdair MacIntyre,165
